Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.272,12.53,0.02,99.94
1,2.262,14.724,0.074,99.8
2,2.191,18.099,0.051,99.85
3,2.053,21.544,0.063,99.72
4,1.956,26.623,0.056,99.629
5,1.854,29.167,0.08,99.479
6,1.768,32.812,0.077,99.539
7,1.699,35.046,0.076,99.339
8,1.642,38.011,0.091,99.028
9,1.591,41.106,0.111,98.538
10,1.537,43.089,0.091,98.468
11,1.507,44.06,0.086,98.558
12,1.453,46.184,0.1,98.017
13,1.42,47.125,0.08,98.267
14,1.381,49.379,0.104,97.666
15,1.341,51.142,0.08,98.207
16,1.299,52.804,0.127,96.514
17,1.27,53.906,0.094,97.716
18,1.243,55.078,0.078,97.897
19,1.212,56.21,0.113,96.855
20,1.187,57.041,0.1,97.226
21,1.16,57.883,0.071,97.967
22,1.141,58.524,0.076,97.877
23,1.124,59.305,0.065,98.087
24,1.099,60.317,0.059,98.207
25,1.08,60.677,0.046,98.718
26,1.076,61.148,0.041,98.958
27,1.052,61.669,0.067,97.947
28,1.046,61.709,0.065,97.917
29,1.037,62.2,0.04,98.898
30,1.012,63.482,0.045,98.718
31,1.0,63.932,0.058,98.217
32,0.995,64.473,0.061,98.077
33,0.981,64.934,0.04,98.808
34,0.971,65.365,0.05,98.498
35,0.959,65.665,0.043,98.718
36,0.97,65.775,0.048,98.548
37,0.943,66.406,0.047,98.648
38,0.932,66.977,0.047,98.598
39,0.928,67.017,0.04,98.698
40,0.918,67.228,0.05,98.448
41,0.914,67.899,0.039,98.858
42,0.901,67.849,0.081,97.336
43,0.896,68.47,0.075,97.526
44,0.888,68.88,0.056,98.237
45,0.887,68.45,0.059,98.047
46,0.883,69.251,0.052,98.317
47,0.871,69.491,0.092,96.935
48,0.866,69.641,0.088,97.145
49,0.861,69.732,0.084,97.326
50,0.863,69.882,0.057,98.087
51,0.847,70.363,0.098,96.725
52,0.854,70.212,0.08,97.426
53,0.843,70.423,0.073,97.626
54,0.832,70.853,0.113,96.174
55,0.839,70.563,0.136,95.413
56,0.832,70.883,0.099,96.735
57,0.826,71.074,0.086,97.206
58,0.825,71.164,0.125,95.743
59,0.824,71.244,0.186,93.399
60,0.816,71.675,0.184,93.359
61,0.818,71.685,0.131,95.523
62,0.808,71.835,0.151,94.772
63,0.803,72.276,0.142,94.982
64,0.807,72.035,0.211,92.718
65,0.803,72.165,0.214,92.408
66,0.799,72.306,0.148,94.732
67,0.793,72.546,0.305,89.523
68,0.798,72.346,0.269,90.885
69,0.79,72.416,0.273,90.635
70,0.792,72.726,0.321,88.872
71,0.788,72.726,0.223,92.208
72,0.795,72.376,0.267,90.935
73,0.792,72.726,0.467,84.255
74,0.797,72.746,0.246,91.526
75,0.787,72.756,0.353,88.221
76,0.784,73.107,0.614,79.788
77,0.775,73.237,0.499,83.474
78,0.779,72.957,0.253,91.166
79,0.776,73.047,0.391,86.629
80,0.771,73.077,0.323,89.273
81,0.769,73.718,0.49,83.744
82,0.77,73.417,0.469,84.475
83,0.77,73.528,0.348,88.371
84,0.775,73.297,0.386,87.049
85,0.769,73.538,0.63,79.938
86,0.77,73.618,0.52,82.983
87,0.767,73.828,0.442,85.317
88,0.778,73.708,0.302,89.864
89,0.771,73.778,0.556,81.831
90,0.767,74.018,0.424,85.837
91,0.76,73.958,0.673,78.095
92,0.758,74.189,0.636,79.587
93,0.773,73.538,0.449,85.056
94,0.766,73.978,0.48,84.044
95,0.765,74.119,0.678,78.886
96,0.768,74.309,0.63,79.718
97,0.764,73.988,0.767,75.962
98,0.764,74.339,0.757,76.152
99,0.773,73.978,0.717,77.204
