Total Loop,NTR loop,Orig Poisoned Train Loss,Orig Clean Test Acc,Orig ASR
1,0,0.0395,89.197,100.0
2,0,0.036,88.586,99.975
3,0,0.1078,87.924,99.924
4,0,0.0886,87.847,99.924
5,0,0.0009,88.025,99.924
6,0,0.0143,87.873,99.873
7,0,0.0244,88.051,99.898
8,0,0.0451,88.127,99.924
9,0,0.0242,88.102,99.924
10,0,0.019,88.127,99.924
11,0,0.0815,88.51,99.924
12,0,0.0711,89.146,99.924
13,0,0.0344,89.58,99.924
14,0,0.0429,89.478,99.924
15,0,0.0055,89.503,99.924
16,0,0.0763,89.503,99.924
17,0,0.0022,89.529,99.924
18,0,0.0325,89.58,99.949
19,0,0.0471,89.962,99.975
20,0,0.0132,90.115,99.975
21,0,0.0026,90.013,99.975
22,0,0.049,89.962,99.975
23,0,0.0122,89.936,99.975
24,0,0.0087,89.936,99.975
25,0,0.0168,89.86,99.975
26,0,0.0759,89.936,99.975
27,0,0.0057,89.911,99.975
28,0,0.0245,89.86,99.975
29,0,0.0186,90.013,99.975
30,0,0.07,90.115,100.0
31,0,0.0049,90.038,100.0
32,0,0.0925,90.064,100.0
33,0,0.0463,89.962,100.0
34,0,0.0097,90.14,100.0
35,0,0.0092,90.293,100.0
36,0,0.0322,90.089,100.0
37,0,0.0593,90.268,100.0
38,0,0.0071,90.166,100.0
39,0,0.102,89.987,100.0
40,0,0.0153,89.962,100.0
41,0,0.0071,89.834,100.0
42,0,0.0606,90.064,100.0
43,0,0.0368,89.936,100.0
44,0,0.147,89.809,100.0
45,0,0.0325,89.809,100.0
46,0,0.0118,89.783,100.0
47,0,0.0128,89.732,100.0
48,0,0.0556,89.809,100.0
49,0,0.0723,89.834,100.0
50,0,0.0115,89.911,100.0
51,0,0.0484,90.013,100.0
52,0,0.0222,90.089,100.0
53,0,0.0703,89.962,100.0
54,0,0.0239,90.217,100.0
55,0,0.0379,90.446,100.0
56,0,0.0637,90.522,100.0
57,0,0.0585,90.675,100.0
58,0,0.0828,90.599,100.0
59,0,0.0607,90.522,100.0
60,0,0.0608,90.599,100.0
61,0,0.0038,90.522,100.0
62,0,0.1213,90.777,100.0
63,0,0.0723,90.65,100.0
64,0,0.0011,90.522,100.0
65,0,0.0137,90.497,100.0
66,0,0.0047,90.548,100.0
67,0,0.0123,90.624,100.0
68,0,0.0083,90.599,100.0
69,0,0.0129,90.497,100.0
70,0,0.0037,90.471,100.0
71,0,0.0174,90.471,100.0
72,0,0.0109,90.701,100.0
73,0,0.007,90.752,100.0
74,0,0.0039,90.573,100.0
75,0,0.0069,90.522,100.0
76,0,0.0073,90.522,100.0
77,0,0.0073,90.395,100.0
78,0,0.0078,90.471,100.0
79,0,0.0191,90.42,100.0
80,0,0.0035,90.42,100.0
81,0,0.0014,90.471,100.0
82,0,0.0091,90.369,100.0
83,0,0.008,90.242,100.0
84,0,0.0117,90.369,100.0
85,0,0.0057,90.395,100.0
86,0,0.011,90.42,100.0
87,0,0.0148,90.42,100.0
88,0,0.0059,90.42,100.0
89,0,0.0185,90.497,100.0
90,0,0.0126,90.471,100.0
91,0,0.0034,90.701,100.0
92,0,0.0018,90.854,100.0
93,0,0.0048,90.726,100.0
94,0,0.003,90.777,100.0
95,0,0.0087,90.93,100.0
96,0,0.0065,90.981,100.0
97,0,0.003,91.083,100.0
98,0,0.0037,90.955,100.0
99,0,0.0043,91.032,100.0
100,0,0.0134,91.032,100.0
101,0,0.0026,91.006,100.0
102,0,0.0029,90.955,100.0
103,0,0.0126,90.955,100.0
104,0,0.0045,90.93,100.0
105,0,0.013,91.032,100.0
106,0,0.0099,91.057,100.0
107,0,0.0029,90.93,100.0
108,0,0.004,91.134,100.0
109,0,0.0135,91.006,100.0
110,0,0.0066,90.93,100.0
111,0,0.003,91.006,100.0
112,0,0.0105,91.134,100.0
113,0,0.0023,91.185,100.0
114,0,0.005,91.287,100.0
115,0,0.0078,91.363,100.0
116,0,0.0041,91.312,100.0
117,0,0.0019,91.338,100.0
118,0,0.0024,91.567,100.0
119,0,0.0028,91.49,100.0
120,0,0.0071,91.516,100.0
121,0,0.0036,91.541,100.0
122,0,0.0097,91.439,100.0
123,0,0.0043,91.541,100.0
124,0,0.0038,91.49,100.0
125,0,0.0092,91.338,100.0
126,0,0.0047,91.439,100.0
127,0,0.0169,91.49,100.0
128,0,0.0088,91.516,100.0
129,0,0.0053,91.592,100.0
130,0,0.0036,91.439,100.0
131,0,0.0023,91.618,100.0
132,0,0.0016,91.745,100.0
133,0,0.0017,91.618,100.0
134,0,0.002,91.694,100.0
135,0,0.0012,91.643,100.0
136,0,0.0039,91.516,100.0
137,0,0.0031,91.618,100.0
138,0,0.0014,91.618,100.0
139,0,0.0127,91.592,100.0
140,0,0.0018,91.541,100.0
141,0,0.0026,91.465,100.0
142,0,0.0026,91.516,100.0
143,0,0.0015,91.465,100.0
144,0,0.0039,91.592,100.0
145,0,0.0013,91.465,100.0
146,0,0.003,91.465,100.0
147,0,0.0021,91.541,100.0
148,0,0.0027,91.465,100.0
149,0,0.0049,91.541,100.0
150,0,0.0033,91.643,100.0
151,0,0.0037,91.541,100.0
152,0,0.0026,91.592,100.0
153,0,0.0031,91.592,100.0
154,0,0.0026,91.567,100.0
155,0,0.0072,91.516,100.0
156,0,0.0033,91.567,100.0
157,0,0.0042,91.669,100.0
158,0,0.0036,91.694,100.0
159,0,0.0082,91.745,100.0
160,0,0.0018,91.745,100.0
161,0,0.0024,91.72,100.0
162,0,0.0059,91.745,100.0
163,0,0.0052,91.72,100.0
164,0,0.0039,91.669,100.0
165,0,0.0027,91.822,100.0
166,0,0.0033,91.72,100.0
167,0,0.0059,91.745,100.0
168,0,0.0022,91.72,100.0
169,0,0.0026,91.771,100.0
170,0,0.0028,91.822,100.0
171,0,0.0062,91.745,100.0
172,0,0.0018,91.72,100.0
173,0,0.003,91.822,100.0
174,0,0.0017,91.771,100.0
175,0,0.0034,91.72,100.0
176,0,0.0041,91.796,100.0
177,0,0.0072,91.643,100.0
178,0,0.009,91.796,100.0
179,0,0.0016,91.822,100.0
180,0,0.0059,91.898,100.0
181,0,0.0043,91.847,100.0
182,0,0.0027,91.873,100.0
183,0,0.0203,91.847,100.0
184,0,0.0032,91.873,100.0
185,0,0.0043,91.822,100.0
186,0,0.004,91.822,100.0
187,0,0.0043,91.822,100.0
188,0,0.0032,91.72,100.0
189,0,0.0037,91.745,100.0
190,0,0.0076,91.72,100.0
191,0,0.0039,91.643,100.0
192,0,7.329,91.287,99.949
193,0,0.0034,89.707,99.338
194,0,0.0062,86.573,90.803
195,0,0.0671,84.484,76.153
196,0,0.3409,82.446,80.051
197,0,0.3456,81.121,90.854
198,0,0.0327,80.229,96.484
199,0,0.0326,79.49,98.955
