Total Loop,Finetune Restrict Clean Test Acc,Finetune Restrict Poisoned Test Loss,Finetune Restrict Poisoned Test ASR
9,44.061,1.469,46.051
19,40.869,1.13,52.141
29,36.02,1.048,69.222
39,36.222,0.493,90.798
49,36.374,0.121,98.747
59,36.727,0.126,99.394
69,35.828,0.09,99.626
79,35.0,0.061,99.798
89,36.192,0.043,99.657
99,35.576,0.063,99.778
109,34.778,0.061,99.828
119,35.505,0.048,99.788
129,35.677,0.052,99.727
139,32.657,0.101,99.222
149,32.051,0.095,99.202
159,30.131,0.045,99.626
169,29.98,0.078,99.455
179,33.394,0.074,99.636
189,30.586,0.085,99.424
199,30.667,0.097,99.404
209,33.343,0.093,99.556
219,31.424,0.102,99.596
229,32.091,0.147,99.424
239,29.131,0.062,99.444
249,31.444,0.177,98.818
259,33.657,0.284,97.03
269,29.737,0.116,99.333
279,26.848,0.065,99.545
289,36.343,0.055,99.313
299,38.636,0.038,99.434
final,34.768,0.027,99.657
